MSOA11CD,Proportion,Extent,Score
W02000001,0,0.028793425295158662,0
W02000002,0,0,0
W02000003,0.14285714285714285,0.5669190468474572,0
W02000004,0,0,0
W02000005,0,0,0
W02000006,0,0.16619521882716964,0
W02000007,0,0,0
W02000008,0,0,0
W02000009,0,0,0
W02000010,0.2,0.12778820095893267,0
W02000011,0,0.12301139055777721,0
W02000012,0,0,0
W02000013,0,0,0
W02000014,0,0,0
W02000015,0.25,0.4480249275004627,0
W02000016,0,0,0
W02000017,0,0.012781198944325733,0
W02000018,0,0.028906015616764903,0
W02000019,0,0,0
W02000020,0,0,0
W02000021,0,0,0
W02000022,0,0,0
W02000023,0,0,0
W02000024,0,0,0
W02000025,0,0,0
W02000026,0,0,0
W02000027,0,0.15743579232537827,0
W02000028,0.25,0.2281227694503926,0
W02000029,0,0,0
W02000030,0,0,0
W02000031,0,0.2629212385532145,0
W02000032,0,0,0
W02000033,0.25,0.5811241589383744,0
W02000034,0,0,0
W02000035,0.16666666666666666,0.3024841132293472,0
W02000036,0.14285714285714285,0.2277445477132603,0
W02000037,0,0,0
W02000038,0,0,0
W02000039,0,0.029022566025519964,0
W02000040,0,0,0
W02000041,0,0,0
W02000042,0,0,0
W02000043,0,0.24677568682701012,0
W02000044,0,0,0
W02000045,0.6666666666666666,0.7666457789285971,0
W02000047,0.6666666666666666,0.6851952770208901,0
W02000049,0,0,0
W02000050,0,0,0
W02000051,0,0,0
W02000052,0.3333333333333333,0.33424776089362984,0
W02000053,0,0,0
W02000054,0,0,0
W02000055,0,0,0
W02000056,0,0,0
W02000057,0,0,0
W02000058,0,0.2313426380141574,0
W02000059,0,0.09629199180917591,0
W02000060,0.16666666666666666,0.3271849524947484,0
W02000061,0,0.4289045384597891,0
W02000062,0,0,0
W02000063,0,0,0
W02000064,0,0.48028039154861607,0
W02000065,0,0,0
W02000066,0.3333333333333333,0.4067150097465887,0
W02000067,0,0,0
W02000068,0,0.14840705285860228,0
W02000069,0,0,0
W02000070,0,0,0
W02000071,0,0,0
W02000072,0,0.012719627110766164,0
W02000073,0,0.08932966615887737,0
W02000074,0,0.040680976474883924,0
W02000075,0,0,0
W02000076,0,0,0
W02000077,0,0,0
W02000080,0,0.11074044925397605,0
W02000081,0,0.3706688874083943,0
W02000082,0,0.07761919943562992,0
W02000083,0,0.0893554434030281,0
W02000084,0,0,0
W02000085,0,0.060102335889261546,0
W02000086,0,0.030003955696202525,0
W02000087,0.8,0.8889017460329158,0
W02000088,0,0.06959443244540436,0
W02000089,0.16666666666666666,0.3230081286148888,0
W02000090,0,0.24371858141949948,0
W02000091,0,0,0
W02000092,0,0.18709893598700117,0
W02000093,0,0,0
W02000094,0.2,0.2688396738195456,0
W02000095,0,0,0
W02000096,0,0.009595803764270274,0
W02000097,0,0,0
W02000098,0,0,0
W02000099,0,0.17980864801408725,0
W02000100,0,0,0
W02000101,0,0,0
W02000102,0,0,0
W02000103,0,0,0
W02000104,0,0.1741955056942582,0
W02000105,0,0.4784671838959949,0
W02000106,0,0,0
W02000107,0,0,0
W02000108,0,0,0
W02000109,0,0.11567921854913625,0
W02000110,0,0,0
W02000111,0,0,0
W02000113,0,0.031400062656641595,0
W02000114,0,0,0
W02000116,0,0,0
W02000117,0,0,0
W02000118,0,0.028069389071064016,0
W02000120,0,0,0
W02000122,0,0,0
W02000123,0,0,0
W02000124,0.14285714285714285,0.21240144176616352,0
W02000125,0,0,0
W02000126,0,0,0
W02000127,0,0,0
W02000128,0,0,0
W02000129,0,0,0
W02000130,0.25,0.36808053889999254,0
W02000131,0,0.030704207729504145,0
W02000132,0,0,0
W02000133,0,0,0
W02000134,0,0,0
W02000135,0,0.2247956192033377,0
W02000136,0,0,0
W02000137,0,0.36632474510884533,0
W02000138,0.3333333333333333,0.4506210689683339,0
W02000139,0,0,0
W02000140,0.25,0.3877817006676822,0
W02000141,0,0,0
W02000142,0,0,0
W02000143,0,0,0
W02000144,0,0.022572639851101223,0
W02000145,0,0,0
W02000146,0,0,0
W02000147,0,0,0
W02000148,0,0.12903326413956007,0
W02000149,0,0.13542205645918173,0
W02000151,0,0.039463682281582854,0
W02000152,0,0.05803471444568868,0
W02000153,0,0.054176298008534844,0
W02000154,0,0.1965492279594886,0
W02000156,0,0,0
W02000157,0,0,0
W02000158,0,0,0
W02000159,0,0.3164604688019222,0
W02000160,0,0,0
W02000161,0,0.2609727611799721,0
W02000162,0,0.1750868962373454,0
W02000163,0,0.2531236745710429,0
W02000164,0,0.06901785777987056,0
W02000165,0.25,0.26970461629805553,0
W02000166,0.2,0.3069080766968866,0
W02000167,0.42857142857142855,0.7708057368027986,0
W02000168,0,0.09665365177826409,0
W02000169,0,0.16059121463013182,0
W02000170,0.16666666666666666,0.1612138989169675,0
W02000171,0,0.06301296538598786,0
W02000172,0,0.1032969560851089,0
W02000173,0.25,0.21091134531928085,0
W02000174,0,0,0
W02000175,0.2,0.5249309119621003,0
W02000176,0.16666666666666666,0.25898430489379315,0
W02000177,0,0.15225371312156866,0
W02000178,0.6,0.927604152453102,0
W02000179,0,0,0
W02000180,0.4,0.5977334757327638,0
W02000181,0.25,0.47966093991455316,0
W02000182,0,0.08758840907408527,0
W02000183,0.16666666666666666,0.7066905676395828,0
W02000184,0,0.2034222147972747,0
W02000185,0,0,0
W02000186,0.8333333333333334,0.9357380453772374,0
W02000187,0,0,0
W02000188,0,0.3101164640743333,0
W02000189,0,0.11178410062278667,0
W02000190,0,0,0
W02000191,0,0,0
W02000192,0.16666666666666666,0.4251040094158586,0
W02000193,0,0,0
W02000194,0,0,0
W02000195,0,0,0
W02000196,0,0.07452581430524212,0
W02000197,0,0,0
W02000198,0,0,0
W02000200,0,0.11978112106269492,0
W02000201,0,0.23147696368581025,0
W02000202,0,0,0
W02000203,0,0.012840011699327272,0
W02000204,0,0,0
W02000205,0,0.2324206027890238,0
W02000206,0.6,0.7695865159148422,0
W02000207,0,0,0
W02000208,0,0.14502289377289376,0
W02000209,0.25,0.7868482850963023,0
W02000210,0,0.6591716094422313,0
W02000211,0.2,0.7036358599217682,0
W02000212,0,0.17349530590469542,0
W02000213,0,0,0
W02000214,0.6666666666666666,0.8138048556738421,0
W02000215,0.6666666666666666,0.744843236545817,0
W02000216,0,0.20375773135721784,0
W02000217,0.25,0.2661664850695596,0
W02000218,0.4,0.7753897740537246,0
W02000219,0,0.44461017335117126,0
W02000220,0,0.34021609031798916,0
W02000221,0.2,0.42288339760025295,0
W02000222,0,0.18495289780872412,0
W02000223,0,0.10533831007790775,0
W02000224,0.25,0.1805328173835392,0
W02000225,0,0.20631465639340546,0
W02000226,0,0.010580457228263352,0
W02000227,0,0.3177713869928277,0
W02000228,0,0,0
W02000229,0,0.11073710978017197,0
W02000230,0,0,0
W02000231,0.2,0.5453241406553795,0
W02000232,0,0,0
W02000233,0.25,0.19086357947434293,0
W02000234,0,0.06579492748812019,0
W02000235,0,0.02969043343997284,0
W02000236,0,0.047037339469972524,0
W02000237,0,0,0
W02000238,0,0,0
W02000239,0,0,0
W02000240,0,0,0
W02000241,0,0,0
W02000242,0,0,0
W02000243,0.3333333333333333,0.5934379738599814,0
W02000244,0,0,0
W02000245,0,0.2889105233202528,0
W02000246,0,0,0
W02000247,0,0,0
W02000248,0,0.3792082103204495,0
W02000249,0.16666666666666666,0.2207340495255464,0
W02000250,0,0,0
W02000251,0,0.21649394623435253,0
W02000252,0.5,0.47366720516962846,0
W02000253,0,0.09926501647376866,0
W02000254,0,0.24762457448752392,0
W02000255,0,0.3358962568877066,0
W02000256,0,0.5365173053792874,0
W02000257,0.2,0.4339303217558065,0
W02000258,0.25,0.7011811129666541,0
W02000259,0.25,0.684532065457762,0
W02000260,0.5,0.6060305105281515,0
W02000261,0,0.10636321332521263,0
W02000262,0.25,0.2849746934879234,0
W02000263,0.25,0.3130091286441612,0
W02000264,0.5,0.7502532928064843,0
W02000265,0.42857142857142855,0.5038019922655899,0
W02000266,0.2,0.42990575517133844,0
W02000267,0.25,0.28981738913199395,0
W02000268,0.16666666666666666,0.24674927675433803,0
W02000269,0.16666666666666666,0.3909186961316436,0
W02000270,0,0.028639279205358602,0
W02000271,0.5,0.5163704183348685,0
W02000272,0,0.12864871579370238,0
W02000273,0.16666666666666666,0.39991484235450503,0
W02000274,0.3333333333333333,0.36245864954271256,0
W02000275,0.25,0.26675558519506504,0
W02000276,0,0.09135533347672858,0
W02000277,0.25,0.1874483897605285,0
W02000278,0,0,0
W02000279,0.16666666666666666,0.13321799307958476,0
W02000280,0,0,0
W02000281,0,0.07554701360141926,0
W02000282,0,0.0959594316563209,0
W02000284,0.16666666666666666,0.27011420937655695,0
W02000285,0,0,0
W02000286,0.5,0.6566906388678935,0
W02000287,0,0.06428340463635458,0
W02000288,0.16666666666666666,0.3233391762183718,0
W02000289,0,0.01798908328513591,0
W02000290,0.3333333333333333,0.7338237908961592,0
W02000291,0.4,0.5719878089104213,0
W02000292,0.3333333333333333,0.6446692323694612,0
W02000293,0.25,0.3685028766247603,0
W02000294,0,0.25169222633527233,0
W02000295,0,0.13249438531393418,0
W02000296,0,0.3878754424463119,0
W02000297,0,0.2793591473753417,0
W02000298,0,0.12131471535982813,0
W02000299,0,0.23089686098654705,0
W02000300,0,0.08377488711315603,0
W02000301,0.25,0.23339916070106145,0
W02000302,0,0.014134431232781308,0
W02000303,0,0,0
W02000304,0,0,0
W02000305,0,0.09079240603897515,0
W02000306,0,0,0
W02000307,0,0.30904692286271235,0
W02000308,0.16666666666666666,0.28509098023870083,0
W02000309,0,0.19878530660032195,0
W02000310,0.25,0.2712979890310786,0
W02000311,0.3333333333333333,0.46301889818502573,0
W02000312,0,0.21164088745800672,0
W02000313,0,0,0
W02000314,0,0.40566887832870074,0
W02000315,0,0.2629933617828354,0
W02000316,0.2,0.4984238790872036,0
W02000317,0.2,0.3262026429943191,0
W02000318,0.16666666666666666,0.5496655054584183,0
W02000319,0.2,0.3773733987788818,0
W02000320,0.16666666666666666,0.3507621156852527,0
W02000321,0.16666666666666666,0.45153077629094396,0
W02000322,0,0.713142912790088,0
W02000323,0,0.30143815055307205,0
W02000324,0,0.469852549108825,0
W02000325,0.25,0.6995689328155928,0
W02000326,0,0.3122058500109962,0
W02000327,0,0,0
W02000328,0,0.03502207353245498,0
W02000329,0.2,0.17772542860882085,0
W02000330,0,0,0
W02000331,0.2,0.7418471501982776,0
W02000332,0,0.5127909261221311,0
W02000333,0,0.14286911250305048,0
W02000334,0,0,0
W02000335,0,0,0
W02000336,0,0,0
W02000337,0,0.1090268719019045,0
W02000338,0,0,0
W02000339,0,0.051126752674520624,0
W02000340,0,0,0
W02000341,0,0,0
W02000342,0,0,0
W02000343,0,0.0653046126002739,0
W02000344,0,0,0
W02000345,0,0,0
W02000346,0,0,0
W02000347,0,0.013189347871671206,0
W02000348,0.2,0.24505676744482716,0
W02000349,0.5,0.7903618911774714,0
W02000350,0,0,0
W02000351,0,0.3383533303963996,0
W02000352,0.4,0.43650922509225093,0
W02000353,0,0.16266927363523712,0
W02000354,0,0.15682530311974932,0
W02000355,0,0,0
W02000356,1,1,0
W02000357,0.4,0.4340968832144198,0
W02000358,0,0,0
W02000359,0.4,0.5598859020178029,0
W02000360,0.25,0.5645156113335633,0
W02000361,0.42857142857142855,0.5093825070976196,0
W02000362,0,0,0
W02000363,0,0.18028914542072436,0
W02000364,0.75,0.9610947106542791,0
W02000365,0.5,0.4266178266178266,0
W02000366,0,0,0
W02000367,0,0,0
W02000368,0,0,0
W02000369,0,0,0
W02000370,0,0,0
W02000371,0,0,0
W02000372,0,0,0
W02000373,0.5,0.49551764025448236,0
W02000374,0,0,0
W02000375,0.25,0.2077939773811146,0
W02000376,0,0.14986169258373203,0
W02000377,0,0.145247150982017,0
W02000378,0,0,0
W02000379,1,1,0
W02000380,0,0,0
W02000381,0,0.42857627904004086,0
W02000382,0.75,0.9231392490889059,0
W02000383,0.2,0.4639474046537243,0
W02000384,0,0,0
W02000385,0,0,0
W02000386,0,0,0
W02000387,0,0,0
W02000388,0,0.08695830949656748,0
W02000389,0.16666666666666666,0.3695166351652612,0
W02000390,0,0,0
W02000391,0,0,0
W02000392,0,0,0
W02000393,0.25,0.2916063893911995,0
W02000394,0,0,0
W02000395,0,0,0
W02000396,0,0,0
W02000397,0.25,0.4641192917054986,0
W02000398,0,0,0
W02000399,0.16666666666666666,0.3399780489049976,0
W02000400,0,0,0
W02000401,0,0,0
W02000402,0.6,0.8166794543718694,0
W02000403,0.5,0.5588006153932615,0
W02000404,0.5,0.7807990779869382,0
W02000405,1,1,0
W02000406,0,0.13613817790891833,0
W02000407,0.75,0.806282722513089,0
W02000408,0.75,0.9231477678318508,0
W02000409,0.5,0.544686382840429,0
W02000410,0,0.681573663073346,0
W02000411,0.5,0.7095479032346085,0
W02000412,0.25,0.5112760186511444,0
W02000414,0,0,0
W02000415,0.6666666666666666,0.8564796297199594,0
W02000416,0.16666666666666666,0.11479465611083622,0
W02000417,0,0.1575854797636662,0
W02000418,0,0,0
W02000419,0,0.16039985326485692,0
W02000420,0,0,0
W02000421,0,0,0
W02000422,0,0,0
W02000423,0.16666666666666666,0.42928633001027594,0
